node,rttMean,rttStd,geo,rttMin,rttMax,bandwidth,noCrashes,rtt,timestamp
38,3412.0,212.0,30.0,3200.0,3624.0,38.0,0,3200.0,1504871398826
94,3423.0,202.0,26.0,3221.0,3625.0,2.0,0,3221.0,1504871398847
92,3527.0,217.0,32.0,3310.0,3744.0,48.0,0,3310.0,1504871398936
79,3542.0,222.0,31.0,3320.0,3764.0,14.0,0,3320.0,1504871398946
33,7833.0,1000.0,72.0,7833.0,7833.0,64.0,0,7833.0,1504871398975
35,3697.0,317.0,33.0,3380.0,4014.0,56.0,0,3380.0,1504871399006
28,7873.0,1000.0,73.0,7873.0,7873.0,34.0,0,7873.0,1504871399015
51,7943.0,1000.0,71.0,7943.0,7943.0,6.0,0,7943.0,1504871399085
5,3756.5,256.5,34.0,3500.0,4013.0,37.0,0,3500.0,1504871399126
78,3856.5,256.5,35.0,3600.0,4113.0,68.0,0,3600.0,1504871399226
66,8103.0,1000.0,74.0,8103.0,8103.0,17.0,0,8103.0,1504871399245
58,8174.0,1000.0,75.0,8174.0,8174.0,8.0,0,8174.0,1504871399316
95,8273.0,1000.0,76.0,8273.0,8273.0,59.0,0,8273.0,1504871399415
43,8274.0,1000.0,77.0,8274.0,8274.0,40.0,0,8274.0,1504871399416
46,4031.0,152.0,36.0,3879.0,4183.0,28.0,0,3879.0,1504871399505
89,4082.0,202.0,37.0,3880.0,4284.0,50.0,0,3880.0,1504871399506
52,8404.0,1000.0,78.0,8404.0,8404.0,91.0,0,8404.0,1504871399546
34,4166.5,166.5,38.0,4000.0,4333.0,98.0,0,4000.0,1504871399626
26,4226.5,197.5,39.0,4029.0,4424.0,77.0,0,4029.0,1504871399655
67,242.33333333333334,203.7929232224602,0.0,61.0,527.0,88.0,0,61.0,1504871399736
64,8595.0,1000.0,79.0,8595.0,8595.0,57.0,0,8595.0,1504871399737
60,8614.0,1000.0,80.0,8614.0,8614.0,18.0,0,8614.0,1504871399756
31,444.3333333333333,279.7860293549738,1.0,190.0,834.0,32.0,0,190.0,1504871399865
76,8744.0,1000.0,81.0,8744.0,8744.0,15.0,0,8744.0,1504871399886
44,8824.0,1000.0,82.0,8824.0,8824.0,51.0,0,8824.0,1504871399966
45,498.3333333333333,251.49464319455308,2.0,320.0,854.0,31.0,0,321.0,1504871399996
63,8914.0,1000.0,83.0,8914.0,8914.0,24.0,0,8914.0,1504871400056
96,575.0,246.90213985841976,3.0,391.0,924.0,62.0,0,391.0,1504871400066
69,9024.0,1000.0,84.0,9024.0,9024.0,22.0,0,9024.0,1504871400166
72,9074.0,1000.0,85.0,9074.0,9074.0,70.0,0,9074.0,1504871400216
55,731.3333333333334,204.002178637604,4.0,540.0,1014.0,12.0,0,640.0,1504871400315
68,9314.0,1000.0,86.0,9314.0,9314.0,85.0,0,9314.0,1504871400456
14,9323.0,1000.0,87.0,9323.0,9323.0,78.0,0,9323.0,1504871400465
77,981.0,242.68910152703603,5.0,799.0,1324.0,5.0,0,820.0,1504871400495
86,1034.6666666666667,239.96712737836037,8.0,861.0,1374.0,89.0,0,861.0,1504871400536
62,1001.6666666666666,172.06265008872657,7.0,880.0,1245.0,72.0,0,880.0,1504871400555
84,9433.0,1000.0,89.0,9433.0,9433.0,75.0,0,9433.0,1504871400575
57,9583.0,1000.0,88.0,9583.0,9583.0,11.0,0,9583.0,1504871400725
93,1324.6666666666667,233.01692833115987,9.0,1150.0,1654.0,21.0,0,1170.0,1504871400845
73,9704.0,1000.0,91.0,9704.0,9704.0,71.0,0,9704.0,1504871400846
49,9754.0,1000.0,90.0,9754.0,9754.0,16.0,0,9754.0,1504871400896
4,1341.3333333333333,165.78165023776168,10.0,1200.0,1574.0,27.0,0,1250.0,1504871400925
21,9803.0,1000.0,92.0,9803.0,9803.0,29.0,0,9803.0,1504871400945
47,1485.0,214.52427990012382,11.0,1291.0,1784.0,19.0,0,1291.0,1504871400966
17,1471.0,270.2640683973115,12.0,1269.0,1853.0,82.0,0,1291.0,1504871400966
53,9914.0,1000.0,93.0,9914.0,9914.0,76.0,0,9914.0,1504871401056
10,1684.6666666666667,198.04432724911752,14.0,1481.0,1953.0,60.0,0,1481.0,1504871401156
1,10014.0,1000.0,94.0,10014.0,10014.0,55.0,0,10014.0,1504871401156
15,10024.0,1000.0,95.0,10024.0,10024.0,73.0,0,10024.0,1504871401166
99,1585.0,204.1910869749216,13.0,1381.0,1864.0,87.0,0,1510.0,1504871401185
83,1775.0,228.6059200166668,15.0,1570.0,2094.0,63.0,0,1661.0,1504871401336
90,1871.3333333333333,197.96520457449645,6.0,1680.0,2144.0,0.0,0,1680.0,1504871401355
11,1954.6666666666667,225.98279187190832,16.0,1771.0,2273.0,79.0,0,1771.0,1504871401446
8,10313.0,1000.0,96.0,10313.0,10313.0,66.0,0,10313.0,1504871401455
12,10324.0,1000.0,98.0,10324.0,10324.0,61.0,0,10324.0,1504871401465
50,2031.6666666666667,270.8189226935387,17.0,1821.0,2414.0,33.0,0,1821.0,1504871401496
16,10474.0,1000.0,97.0,10474.0,10474.0,7.0,0,10474.0,1504871401616
100,2174.3333333333335,226.06832792076133,19.0,2010.0,2494.0,25.0,0,2010.0,1504871401685
13,2194.3333333333335,265.4020011646902,18.0,1949.0,2563.0,13.0,0,2071.0,1504871401746
87,2358.3333333333335,175.98169096686038,20.0,2201.0,2604.0,26.0,0,2201.0,1504871401876
36,10744.0,1000.0,99.0,10744.0,10744.0,4.0,0,10744.0,1504871401886
59,2431.0,270.9329560364827,21.0,2230.0,2814.0,54.0,0,2230.0,1504871401905
85,2558.3333333333335,214.63819686988512,22.0,2351.0,2854.0,36.0,0,2351.0,1504871402026
32,2587.6666666666665,245.71030819962675,23.0,2390.0,2934.0,41.0,0,2390.0,1504871402065
39,2664.0,192.92658361839787,24.0,2490.0,2933.0,47.0,0,2490.0,1504871402165
22,2851.3333333333335,210.18298905689036,25.0,2660.0,3144.0,53.0,0,2750.0,1504871402425
7,3021.6666666666665,187.05495330398378,27.0,2861.0,3284.0,46.0,0,2861.0,1504871402536
97,3148.0,197.5567429035685,28.0,2941.0,3414.0,20.0,0,2941.0,1504871402616
24,3287.6666666666665,223.0953956395236,29.0,3121.0,3603.0,52.0,0,3121.0,1504871402796
38,3328.3333333333335,209.67329083335554,30.0,3161.0,3624.0,38.0,0,3161.0,1504871402836
94,3339.0,203.26009610021015,26.0,3171.0,3625.0,2.0,0,3171.0,1504871402846
92,3455.0,204.3542675518832,32.0,3310.0,3744.0,48.0,0,3311.0,1504871402986
79,3484.6666666666665,198.57044649751438,31.0,3320.0,3764.0,14.0,0,3370.0,1504871403045
35,3588.3333333333335,301.0142115508096,33.0,3371.0,4014.0,56.0,0,3371.0,1504871403046
5,3681.3333333333335,234.86497302823926,34.0,3500.0,4013.0,37.0,0,3531.0,1504871403206
78,3794.3333333333335,227.13627823156938,35.0,3600.0,4113.0,68.0,0,3670.0,1504871403345
46,3940.6666666666665,178.10920495271682,36.0,3760.0,4183.0,28.0,0,3760.0,1504871403435
89,4011.6666666666665,192.60379597043828,37.0,3871.0,4284.0,50.0,0,3871.0,1504871403546
