node,geoLocation,rtt,timestamp,mean
8,8,1020.0,1504424883550,976.1666666666666
49,49,5091.0,1504424883601,5102.666666666667
9,9,1090.0,1504424883620,1063.1666666666667
51,51,5140.0,1504424883650,5216.0
10,10,1130.0,1504424883660,1196.3333333333333
50,50,5170.0,1504424883680,5249.333333333333
91,91,9200.0,1504424883690,9334.5
11,11,1200.0,1504424883730,1311.1666666666667
12,12,1280.0,1504424883810,1378.0
52,52,5310.0,1504424883820,5389.0
93,93,9360.0,1504424883850,9474.5
92,92,9380.0,1504424883870,9459.0
13,13,1370.0,1504424883900,1449.5
53,53,5450.0,1504424883960,5513.0
54,54,5450.0,1504424883960,5592.333333333333
14,14,1550.0,1504424884080,1553.1666666666667
94,94,9620.0,1504424884110,9714.0
55,55,5610.0,1504424884120,5665.666666666667
95,95,9690.0,1504424884180,9709.0
16,16,1651.0,1504424884181,1758.0
15,15,1680.0,1504424884210,1654.5
96,96,9760.0,1504424884250,9889.0
57,57,5740.0,1504424884250,5875.666666666667
56,56,5790.0,1504424884300,5825.666666666667
97,97,9831.0,1504424884321,9899.5
17,17,1791.0,1504424884321,1839.8333333333333
98,98,9880.0,1504424884370,9984.0
18,18,1940.0,1504424884470,1962.8333333333333
99,99,9990.0,1504424884480,10104.0
58,58,5990.0,1504424884500,5966.333333333333
60,60,6041.0,1504424884551,6199.333333333333
59,59,6060.0,1504424884570,6125.666666666667
20,20,2060.0,1504424884590,2151.5
19,19,2110.0,1504424884640,2061.6666666666665
21,21,2200.0,1504424884730,2257.8333333333335
22,22,2261.0,1504424884791,2359.8333333333335
61,61,6300.0,1504424884810,6336.0
23,23,2340.0,1504424884870,2449.5
62,62,6380.0,1504424884890,6476.0
63,63,6480.0,1504424884990,6566.0
24,24,2501.0,1504424885031,2591.6666666666665
64,64,6590.0,1504424885100,6616.0
65,65,6650.0,1504424885160,6675.666666666667
25,25,2721.0,1504424885251,2658.0
26,26,2730.0,1504424885260,2751.3333333333335
66,66,6770.0,1504424885280,6862.333333333333
27,27,2790.0,1504424885320,2833.0
68,68,6840.0,1504424885350,6952.333333333333
67,67,6861.0,1504424885371,6903.0
28,28,2930.0,1504424885460,2926.5
69,69,6990.0,1504424885500,7049.0
70,70,7050.0,1504424885560,7202.666666666667
29,29,3040.0,1504424885570,3031.3333333333335
30,30,3150.0,1504424885680,3166.1666666666665
71,71,7230.0,1504424885740,7292.666666666667
72,72,7260.0,1504424885770,7362.333333333333
73,73,7340.0,1504424885850,7482.666666666667
31,31,3320.0,1504424885850,3316.5
33,33,3360.0,1504424885890,3468.0
32,32,3420.0,1504424885950,3370.0
74,74,7480.0,1504424885990,7549.0
34,34,3500.0,1504424886030,3520.0
75,75,7610.0,1504424886120,7672.333333333333
35,35,3631.0,1504424886161,3676.3333333333335
76,76,7670.0,1504424886180,7789.0
37,37,3761.0,1504424886291,3826.5
77,77,7781.0,1504424886291,7916.0
36,36,3810.0,1504424886340,3753.0
38,38,3940.0,1504424886470,3962.8333333333335
78,78,7990.0,1504424886500,7992.333333333333
79,79,8000.0,1504424886510,8069.333333333333
39,39,4060.0,1504424886590,4097.25
1,1,139.0,1504424886690,233.71428571428572
100,0,219.0,1504424886770,145.57142857142858
3,3,370.0,1504424886921,427.0
2,2,409.0,1504424886960,345.14285714285717
4,4,549.0,1504424887100,542.8571428571429
5,5,629.0,1504424887180,659.4285714285714
6,6,759.0,1504424887310,749.4285714285714
7,7,809.0,1504424887360,831.0
9,9,949.0,1504424887500,1046.857142857143
8,8,1009.0,1504424887560,980.8571428571429
10,10,1140.0,1504424887691,1188.2857142857142
11,11,1239.0,1504424887790,1300.857142857143
12,12,1260.0,1504424887811,1361.142857142857
13,13,1399.0,1504424887950,1442.2857142857142
14,14,1480.0,1504424888031,1542.7142857142858
15,15,1599.0,1504424888150,1646.5714285714287
16,16,1709.0,1504424888260,1751.0
17,17,1819.0,1504424888370,1836.857142857143
18,18,1869.0,1504424888420,1949.4285714285713
19,19,2029.0,1504424888580,2057.0
20,20,2059.0,1504424888610,2138.285714285714
21,21,2139.0,1504424888690,2240.8571428571427
22,22,2339.0,1504424888890,2356.8571428571427
23,23,2369.0,1504424888920,2438.0
24,24,2429.0,1504424888980,2568.4285714285716
25,25,2610.0,1504424889161,2651.1428571428573
26,26,2689.0,1504424889240,2742.4285714285716
27,27,2830.0,1504424889381,2832.5714285714284
28,28,2930.0,1504424889481,2927.0
29,29,3099.0,1504424889650,3041.0
31,31,3139.0,1504424889690,3291.1428571428573
30,30,3209.0,1504424889760,3172.285714285714
32,32,3299.0,1504424889850,3359.8571428571427
33,33,3449.0,1504424890000,3465.285714285714
34,34,3519.0,1504424890070,3519.8571428571427
35,35,3649.0,1504424890200,3672.4285714285716
36,36,3810.0,1504424890361,3761.1428571428573
38,38,3900.0,1504424890451,3953.8571428571427
37,37,3910.0,1504424890461,3838.4285714285716
40,40,4119.0,1504424890670,4164.0
100,0,109.0,1504424890680,141.0
1,1,119.0,1504424890690,219.375
41,41,4170.0,1504424890721,4241.75
42,42,4299.0,1504424890850,4356.5
2,2,309.0,1504424890880,340.625
3,3,399.0,1504424890970,423.5
4,4,429.0,1504424891000,528.625
44,44,4469.0,1504424891020,4526.75
43,43,4489.0,1504424891040,4469.0
5,5,529.0,1504424891100,643.125
45,45,4689.0,1504424891240,4734.0
46,46,4749.0,1504424891300,4777.0
6,6,749.0,1504424891320,749.375
47,47,4809.0,1504424891360,4866.5
7,7,859.0,1504424891430,834.5
8,8,950.0,1504424891521,977.0
9,9,969.0,1504424891540,1037.125
48,48,5019.0,1504424891570,4964.0
49,49,5049.0,1504424891600,5089.25
10,10,1070.0,1504424891641,1173.5
11,11,1159.0,1504424891730,1283.125
50,50,5200.0,1504424891751,5237.0
51,51,5210.0,1504424891761,5214.5
52,52,5359.0,1504424891910,5381.5
53,53,5389.0,1504424891940,5482.0
13,13,1389.0,1504424891960,1435.625
54,54,5499.0,1504424892050,5569.0
14,14,1549.0,1504424892120,1543.5
55,55,5589.0,1504424892140,5646.5
15,15,1690.0,1504424892261,1652.0
56,56,5820.0,1504424892370,5824.25
16,16,1800.0,1504424892371,1757.125
57,57,5859.0,1504424892410,5871.5
17,17,1869.0,1504424892440,1840.875
59,59,5929.0,1504424892480,6076.5
58,58,5950.0,1504424892501,5962.25
19,19,1989.0,1504424892560,2048.5
18,18,1999.0,1504424892570,1955.625
60,60,6119.0,1504424892670,6179.25
20,20,2150.0,1504424892721,2139.75
61,61,6249.0,1504424892800,6314.25
21,21,2260.0,1504424892831,2243.25
22,22,2299.0,1504424892870,2349.625
62,62,6319.0,1504424892870,6436.75
23,23,2420.0,1504424892991,2435.75
63,63,6440.0,1504424892991,6534.5
24,24,2449.0,1504424893020,2553.5
64,64,6469.0,1504424893020,6579.25
65,65,6609.0,1504424893160,6659.0
25,25,2679.0,1504424893250,2654.625
26,26,2679.0,1504424893250,2734.5
66,66,6780.0,1504424893331,6841.75
68,68,6859.0,1504424893410,6929.0
67,67,6909.0,1504424893460,6904.5
27,27,2889.0,1504424893460,2839.625
28,28,2889.0,1504424893460,2922.25
29,29,3069.0,1504424893640,3044.5
69,69,7119.0,1504424893670,7066.5
70,70,7139.0,1504424893690,7186.75
30,30,3149.0,1504424893720,3169.375
31,31,3209.0,1504424893780,3280.875
32,32,3239.0,1504424893810,3344.75
71,71,7280.0,1504424893831,7289.5
72,72,7329.0,1504424893880,7354.0
73,73,7349.0,1504424893900,7449.25
33,33,3419.0,1504424893990,3459.5
74,74,7480.0,1504424894031,7531.75
34,34,3519.0,1504424894090,3519.75
35,35,3539.0,1504424894110,3655.75
75,75,7590.0,1504424894141,7651.75
36,36,3680.0,1504424894250,3751.0
37,37,3749.0,1504424894320,3827.25
76,76,7810.0,1504424894361,7794.25
78,78,7849.0,1504424894400,7956.5
77,77,7889.0,1504424894440,7909.25
38,38,3979.0,1504424894550,3957.0
39,39,3999.0,1504424894570,4077.6
79,79,8099.0,1504424894650,8076.75
100,0,130.0,1504424894721,139.77777777777777
80,80,8170.0,1504424894721,8173.0
82,82,8259.0,1504424894810,8312.333333333334
81,81,8300.0,1504424894851,8346.0
1,1,260.0,1504424894851,223.88888888888889
2,2,309.0,1504424894900,337.1111111111111
83,83,8449.0,1504424895000,8516.333333333334
84,84,8489.0,1504424895040,8574.333333333334
3,3,449.0,1504424895040,426.3333333333333
5,5,609.0,1504424895200,639.3333333333334
4,4,619.0,1504424895210,538.6666666666666
85,85,8719.0,1504424895270,8718.333333333334
86,86,8749.0,1504424895300,8839.333333333334
87,87,8769.0,1504424895320,8906.0
7,7,739.0,1504424895330,823.8888888888889
6,6,750.0,1504424895341,749.4444444444445
88,88,8910.0,1504424895461,9039.333333333334
89,89,8929.0,1504424895480,9069.0
8,8,899.0,1504424895490,968.3333333333334
9,9,929.0,1504424895520,1025.111111111111
11,11,1159.0,1504424895750,1269.3333333333333
10,10,1169.0,1504424895760,1173.0
90,90,9219.0,1504424895770,9225.666666666666
91,91,9260.0,1504424895811,9309.666666666666
92,92,9359.0,1504424895910,9425.666666666666
93,93,9519.0,1504424896070,9489.333333333334
14,14,1489.0,1504424896080,1537.4444444444443
94,94,9539.0,1504424896090,9655.666666666666
13,13,1509.0,1504424896100,1443.7777777777778
95,95,9600.0,1504424896150,9672.666666666666
15,15,1670.0,1504424896261,1654.0
96,96,9719.0,1504424896270,9832.333333333334
97,97,9809.0,1504424896360,9869.333333333334
16,16,1819.0,1504424896410,1764.0
17,17,1890.0,1504424896481,1846.3333333333333
99,99,9969.0,1504424896520,10059.0
98,98,9989.0,1504424896540,9985.666666666666
19,19,1989.0,1504424896580,2041.888888888889
18,18,1989.0,1504424896580,1959.3333333333333
21,21,2179.0,1504424896770,2236.1111111111113
20,20,2209.0,1504424896800,2147.4444444444443
22,22,2279.0,1504424896870,2341.777777777778
23,23,2480.0,1504424897071,2440.6666666666665
24,24,2529.0,1504424897120,2550.777777777778
25,25,2639.0,1504424897230,2652.8888888888887
26,26,2679.0,1504424897270,2728.3333333333335
28,28,2879.0,1504424897470,2917.4444444444443
27,27,2899.0,1504424897490,2846.222222222222
29,29,3069.0,1504424897660,3047.222222222222
30,30,3159.0,1504424897750,3168.222222222222
31,31,3229.0,1504424897820,3275.1111111111113
32,32,3400.0,1504424897991,3350.8888888888887
33,33,3439.0,1504424898030,3457.222222222222
34,34,3499.0,1504424898090,3517.4444444444443
36,36,3649.0,1504424898240,3739.6666666666665
35,35,3669.0,1504424898260,3657.222222222222
37,37,3779.0,1504424898370,3821.8888888888887
38,38,3879.0,1504424898470,3948.3333333333335
39,39,4089.0,1504424898680,4079.5
41,41,4139.0,1504424898730,4221.2
40,40,4139.0,1504424898730,4159.0
100,0,170.0,1504424898780,142.8
1,1,250.0,1504424898860,226.5
42,42,4330.0,1504424898921,4351.2
2,2,311.0,1504424898921,334.5
3,3,350.0,1504424898960,418.7
44,44,4439.0,1504424899030,4509.2
43,43,4479.0,1504424899070,4471.0
5,5,540.0,1504424899150,629.4
4,4,570.0,1504424899180,541.8
45,45,4709.0,1504424899300,4729.0
6,6,801.0,1504424899411,754.6
47,47,4820.0,1504424899411,4857.2
46,46,4820.0,1504424899411,4785.6
48,48,4849.0,1504424899440,4941.0
8,8,840.0,1504424899450,955.5
7,7,850.0,1504424899460,826.5
49,49,4999.0,1504424899590,5071.2
9,9,1030.0,1504424899640,1025.6
50,50,5099.0,1504424899690,5209.4
10,10,1110.0,1504424899720,1166.7
11,11,1150.0,1504424899760,1257.4
51,51,5239.0,1504424899830,5219.4
53,53,5339.0,1504424899930,5453.4
13,13,1350.0,1504424899960,1434.4
52,52,5399.0,1504424899990,5385.0
54,54,5499.0,1504424900090,5555.0
15,15,1541.0,1504424900151,1642.7
14,14,1550.0,1504424900160,1538.7
55,55,5660.0,1504424900251,5649.2
57,57,5729.0,1504424900320,5843.0
16,16,1720.0,1504424900330,1759.6
56,56,5789.0,1504424900380,5817.2
17,17,1781.0,1504424900391,1839.8
58,58,5839.0,1504424900430,5937.6
18,18,1890.0,1504424900500,1952.4
59,59,6019.0,1504424900610,6065.0
19,19,2010.0,1504424900620,2038.7
60,60,6039.0,1504424900630,6151.2
21,21,2141.0,1504424900751,2226.6
20,20,2210.0,1504424900820,2153.7
61,61,6259.0,1504424900850,6303.2
22,22,2241.0,1504424900851,2331.7
62,62,6319.0,1504424900910,6413.2
63,63,6369.0,1504424900960,6501.4
23,23,2350.0,1504424900960,2431.6
24,24,2450.0,1504424901060,2540.7
