node,rttMean,rttStd,geo,rttMin,rttMax,bandwidth,rtt,timestamp
82,1968.3333333333333,154.6206828194584,7.0,1859.0,2187.0,9.0,1859.0,1505150513256
2,6127.0,1000.0,9.0,6127.0,6127.0,2.0,6127.0,1505150513276
18,1999.0,70.00476174280338,5.0,1949.0,2098.0,7.0,1950.0,1505150513347
88,6318.0,1000.0,10.0,6318.0,6318.0,2.0,6318.0,1505150513467
69,2198.5,119.5,8.0,2079.0,2318.0,8.0,2079.0,1505150513476
81,2228.5,19.5,3.0,2209.0,2248.0,6.0,2209.0,1505150513606
93,2488.0,249.0,14.0,2239.0,2737.0,8.0,2239.0,1505150513636
7,2363.5,94.5,8.0,2269.0,2458.0,7.0,2269.0,1505150513666
44,2089.0,192.39022844209111,6.0,1849.0,2320.0,9.0,2320.0,1505150513717
98,2468.5,119.5,4.0,2349.0,2588.0,5.0,2349.0,1505150513746
4,2649.0,109.0,0.0,2540.0,2758.0,4.0,2540.0,1505150513937
48,2753.5,154.5,10.0,2599.0,2908.0,6.0,2599.0,1505150513996
37,2999.5,359.5,12.0,2640.0,3359.0,7.0,2640.0,1505150514037
100,2858.5,59.5,13.0,2799.0,2918.0,8.0,2799.0,1505150514196
26,7068.0,1000.0,18.0,7068.0,7068.0,2.0,7068.0,1505150514217
15,2908.5,88.5,7.0,2820.0,2997.0,5.0,2820.0,1505150514217
97,2983.5,113.5,16.0,2870.0,3097.0,8.0,2870.0,1505150514267
46,3334.0,464.0,21.0,2870.0,3798.0,9.0,2870.0,1505150514267
13,7127.0,1000.0,19.0,7127.0,7127.0,2.0,7127.0,1505150514276
1,1061.5,129.14817071875234,0.0,879.0,1218.0,8.0,879.0,1505150514296
68,2769.0,171.0,5.0,2598.0,2940.0,5.0,2940.0,1505150514337
86,3013.5,53.5,4.0,2960.0,3067.0,4.0,2960.0,1505150514357
9,3253.0,244.0,16.0,3009.0,3497.0,8.0,3009.0,1505150514406
67,1705.6666666666667,508.14980293435343,6.0,989.0,2110.0,9.0,989.0,1505150514406
36,7267.0,1000.0,22.0,7267.0,7267.0,2.0,7267.0,1505150514416
87,3263.5,114.5,17.0,3149.0,3378.0,7.0,3149.0,1505150514546
85,3218.5,68.5,20.0,3150.0,3287.0,9.0,3150.0,1505150514547
79,3478.5,179.5,15.0,3299.0,3658.0,5.0,3299.0,1505150514696
8,3329.0,11.0,12.0,3318.0,3340.0,5.0,3340.0,1505150514737
24,3479.0,89.0,14.0,3390.0,3568.0,5.0,3390.0,1505150514787
39,1401.0,90.39911503991618,2.0,1299.0,1547.0,9.0,1379.0,1505150514796
60,3803.0,374.0,19.0,3429.0,4177.0,6.0,3429.0,1505150514826
28,3483.5,33.5,11.0,3450.0,3517.0,4.0,3450.0,1505150514847
42,3554.0,104.0,18.0,3450.0,3658.0,6.0,3450.0,1505150514847
72,3563.0,64.0,13.0,3499.0,3627.0,5.0,3499.0,1505150514896
54,1716.5,161.1218483012158,2.0,1540.0,1977.0,7.0,1540.0,1505150514957
10,1639.0,256.5082844666035,1.0,1429.0,2077.0,7.0,1550.0,1505150514967
11,3734.0,144.0,22.0,3590.0,3878.0,7.0,3590.0,1505150514987
83,1524.0,133.28728371453894,1.0,1319.0,1688.0,7.0,1570.0,1505150514987
91,3758.5,159.5,11.0,3599.0,3918.0,4.0,3599.0,1505150514996
34,1654.0,117.85796536509528,3.0,1579.0,1858.0,8.0,1579.0,1505150514996
43,3744.0,54.0,24.0,3690.0,3798.0,8.0,3690.0,1505150515087
74,3898.5,188.5,27.0,3710.0,4087.0,9.0,3710.0,1505150515107
21,3838.5,99.5,26.0,3739.0,3938.0,9.0,3739.0,1505150515136
99,1764.0,164.1538912118747,6.0,1509.0,1967.0,9.0,1800.0,1505150515217
59,8077.0,1000.0,28.0,8077.0,8077.0,2.0,8077.0,1505150515226
82,1931.0,148.70104236352884,7.0,1819.0,2187.0,9.0,1819.0,1505150515236
53,1861.5,91.78371315217096,1.0,1759.0,2008.0,6.0,1859.0,1505150515276
90,1887.0,64.16385275215322,1.0,1810.0,1988.0,6.0,1880.0,1505150515297
18,1971.75,76.83220353471583,5.0,1890.0,2098.0,7.0,1890.0,1505150515307
89,1929.0,139.3753923761293,4.0,1749.0,2138.0,7.0,1890.0,1505150515307
35,2052.6666666666665,99.60365901355676,7.0,1920.0,2160.0,8.0,1920.0,1505150515337
52,4058.5,79.5,25.0,3979.0,4138.0,7.0,3979.0,1505150515376
45,4139.0,1.0,15.0,4138.0,4140.0,4.0,4140.0,1505150515537
19,2158.6666666666665,15.965240019770729,0.0,2140.0,2179.0,5.0,2140.0,1505150515557
80,4263.5,216.5,8.0,4047.0,4480.0,3.0,4480.0,1505150515877
96,4364.0,146.0,22.0,4218.0,4510.0,5.0,4510.0,1505150515907
44,1891.75,380.1094414770567,6.0,1300.0,2320.0,9.0,1300.0,1505150516737
39,1386.6,85.83146276278879,2.0,1299.0,1547.0,9.0,1329.0,1505150516766
67,1619.25,464.8286646711883,6.0,989.0,2110.0,9.0,1360.0,1505150516797
1,1125.2,171.97139296987743,0.0,879.0,1380.0,8.0,1380.0,1505150516817
10,1607.2,238.08015456984228,1.0,1429.0,2077.0,7.0,1480.0,1505150516917
83,1517.2,119.98899949578711,1.0,1319.0,1688.0,7.0,1490.0,1505150516927
34,1649.2,105.85159422512257,3.0,1579.0,1858.0,8.0,1630.0,1505150517067
90,1849.4,94.59725154569766,1.0,1699.0,1988.0,6.0,1699.0,1505150517136
81,2078.6666666666665,212.49366003614216,3.0,1779.0,2248.0,6.0,1779.0,1505150517216
76,4153.0,344.0,5.0,3809.0,4497.0,3.0,3809.0,1505150517226
53,1847.0,87.06549259034833,1.0,1759.0,2008.0,6.0,1789.0,1505150517226
54,1733.0,147.84180734825992,2.0,1540.0,1977.0,7.0,1799.0,1505150517236
20,4084.0,244.0,23.0,3840.0,4328.0,6.0,3840.0,1505150517257
35,2004.5,120.00312495931095,7.0,1860.0,2160.0,8.0,1860.0,1505150517297
69,2098.6666666666665,171.62038210992176,8.0,1899.0,2318.0,8.0,1899.0,1505150517336
18,1963.2,70.81638228545708,5.0,1890.0,2098.0,7.0,1929.0,1505150517366
82,1934.8,133.21921783286373,7.0,1819.0,2187.0,9.0,1950.0,1505150517387
99,1807.2,170.35891523486524,6.0,1509.0,1980.0,9.0,1980.0,1505150517417
78,4219.0,219.0,29.0,4000.0,4438.0,9.0,4000.0,1505150517417
61,10287.0,1000.0,2.0,10287.0,10287.0,0.0,10287.0,1505150517436
38,4183.5,103.5,24.0,4080.0,4287.0,6.0,4080.0,1505150517497
89,1955.2,135.22632879731668,4.0,1749.0,2138.0,7.0,2060.0,1505150517497
65,4319.0,209.0,29.0,4110.0,4528.0,8.0,4110.0,1505150517527
84,4288.0,119.0,26.0,4169.0,4407.0,6.0,4169.0,1505150517586
5,10468.0,1000.0,4.0,10468.0,10468.0,0.0,10468.0,1505150517617
41,10488.0,1000.0,3.0,10488.0,10488.0,1.0,10488.0,1505150517637
71,4348.5,89.5,27.0,4259.0,4438.0,6.0,4259.0,1505150517676
25,4438.0,149.0,10.0,4289.0,4587.0,3.0,4289.0,1505150517706
57,4429.0,109.0,18.0,4320.0,4538.0,4.0,4320.0,1505150517737
7,2342.3333333333335,82.76204175559926,8.0,2269.0,2458.0,7.0,2300.0,1505150517737
56,4444.0,104.0,21.0,4340.0,4548.0,4.0,4340.0,1505150517757
68,2622.6666666666665,249.64152076305115,5.0,2330.0,2940.0,5.0,2330.0,1505150517767
93,2445.0,212.20744567521658,14.0,2239.0,2737.0,8.0,2359.0,1505150517796
98,2435.3333333333335,108.25997516267138,4.0,2349.0,2588.0,5.0,2369.0,1505150517806
27,4518.0,49.0,9.0,4469.0,4567.0,3.0,4469.0,1505150517886
50,10788.0,1000.0,2.0,10788.0,10788.0,0.0,10788.0,1505150517937
92,4723.5,173.5,12.0,4550.0,4897.0,3.0,4550.0,1505150517967
4,2616.0,100.4921224109963,0.0,2540.0,2758.0,4.0,2550.0,1505150517987
12,10928.0,1000.0,7.0,10928.0,10928.0,0.0,10928.0,1505150518077
49,10967.0,1000.0,8.0,10967.0,10967.0,1.0,10967.0,1505150518116
37,2902.6666666666665,323.903620781793,12.0,2640.0,3359.0,7.0,2709.0,1505150518146
100,2815.6666666666665,77.6502128493899,13.0,2730.0,2918.0,8.0,2730.0,1505150518167
48,2745.6666666666665,126.63420636708796,10.0,2599.0,2908.0,6.0,2730.0,1505150518167
9,3082.0,313.32517719881156,16.0,2740.0,3497.0,8.0,2740.0,1505150518177
15,2859.0,100.60815076324582,7.0,2760.0,2997.0,5.0,2760.0,1505150518197
16,11138.0,1000.0,9.0,11138.0,11138.0,0.0,11138.0,1505150518287
66,11158.0,1000.0,9.0,11158.0,11158.0,1.0,11158.0,1505150518307
97,2945.6666666666665,107.0088262195642,16.0,2870.0,3097.0,8.0,2870.0,1505150518307
86,2985.3333333333335,59.117585276200934,4.0,2929.0,3067.0,4.0,2929.0,1505150518366
58,11218.0,1000.0,10.0,11218.0,11218.0,0.0,11218.0,1505150518367
22,5123.5,163.5,14.0,4960.0,5287.0,3.0,4960.0,1505150518376
32,5149.0,179.0,29.0,4970.0,5328.0,5.0,4970.0,1505150518387
23,5088.5,88.5,25.0,5000.0,5177.0,4.0,5000.0,1505150518417
46,3219.3333333333335,412.10138989762646,21.0,2870.0,3798.0,9.0,2990.0,1505150518427
64,4993.5,25.5,16.0,4968.0,5019.0,3.0,5019.0,1505150518436
1,1112.8333333333333,159.4045343004883,0.0,879.0,1380.0,8.0,1051.0,1505150518507
70,5278.5,129.5,28.0,5149.0,5408.0,4.0,5149.0,1505150518566
8,3272.6666666666665,80.17203724214293,12.0,3160.0,3340.0,5.0,3160.0,1505150518596
85,3199.0,62.35917467916543,20.0,3150.0,3287.0,9.0,3160.0,1505150518597
87,3232.3333333333335,103.35806155733034,17.0,3149.0,3378.0,7.0,3170.0,1505150518607
40,11498.0,1000.0,13.0,11498.0,11498.0,1.0,11498.0,1505150518647
39,1367.3333333333333,89.41600652132828,2.0,1271.0,1547.0,9.0,1271.0,1505150518727
60,3635.3333333333335,386.61982474892426,19.0,3300.0,4177.0,6.0,3300.0,1505150518737
63,5419.0,89.0,3.0,5330.0,5508.0,2.0,5330.0,1505150518747
11,3609.0,212.30638238168913,22.0,3359.0,3878.0,7.0,3359.0,1505150518796
79,3449.0,152.3832886725663,15.0,3299.0,3658.0,5.0,3390.0,1505150518827
62,5473.5,53.5,28.0,5420.0,5527.0,4.0,5420.0,1505150518837
67,1575.6,424.8221274839624,6.0,989.0,2110.0,9.0,1401.0,1505150518857
44,1793.6,392.58150746055276,6.0,1300.0,2320.0,9.0,1401.0,1505150518857
29,11718.0,1000.0,15.0,11718.0,11718.0,0.0,11718.0,1505150518867
51,11727.0,1000.0,17.0,11727.0,11727.0,1.0,11727.0,1505150518876
24,3472.3333333333335,73.27725128275183,14.0,3390.0,3568.0,5.0,3459.0,1505150518896
72,3531.6666666666665,68.51439427027157,13.0,3469.0,3627.0,5.0,3469.0,1505150518906
42,3552.3333333333335,84.94835032078151,18.0,3450.0,3658.0,6.0,3549.0,1505150518986
54,1707.3333333333333,146.6568178511392,2.0,1540.0,1977.0,7.0,1579.0,1505150519035
34,1639.3333333333333,99.11553303538699,3.0,1579.0,1858.0,8.0,1590.0,1505150519046
30,5643.5,15.5,5.0,5628.0,5659.0,2.0,5659.0,1505150519076
28,3538.6666666666665,82.67338682362596,11.0,3450.0,3649.0,4.0,3649.0,1505150519086
77,11968.0,1000.0,17.0,11968.0,11968.0,1.0,11968.0,1505150519117
83,1541.1666666666667,121.94181217103326,1.0,1319.0,1688.0,7.0,1661.0,1505150519117
21,3805.3333333333335,93.80949963741531,26.0,3739.0,3938.0,9.0,3739.0,1505150519176
33,5918.5,129.5,25.0,5789.0,6048.0,3.0,5789.0,1505150519206
90,1839.6666666666667,89.05553822693392,1.0,1699.0,1988.0,6.0,1791.0,1505150519247
74,3875.6666666666665,157.26057639754754,27.0,3710.0,4087.0,9.0,3830.0,1505150519267
91,3782.3333333333335,134.5221997375237,11.0,3599.0,3918.0,4.0,3830.0,1505150519267
99,1807.8333333333333,155.52214919068246,6.0,1509.0,1980.0,9.0,1811.0,1505150519267
73,5674.0,196.0,6.0,5478.0,5870.0,2.0,5870.0,1505150519287
82,1917.5,127.61628683936335,7.0,1819.0,2187.0,9.0,1831.0,1505150519287
55,12157.0,1000.0,20.0,12157.0,12157.0,1.0,12157.0,1505150519306
75,5863.5,25.5,23.0,5838.0,5889.0,3.0,5889.0,1505150519306
6,12157.0,1000.0,19.0,12157.0,12157.0,1.0,12157.0,1505150519306
53,1850.8333333333333,79.94042920964473,1.0,1759.0,2008.0,6.0,1870.0,1505150519326
47,12208.0,1000.0,20.0,12208.0,12208.0,0.0,12208.0,1505150519357
2,6038.5,88.5,9.0,5950.0,6127.0,2.0,5950.0,1505150519367
43,3809.3333333333335,102.37621251486543,24.0,3690.0,3940.0,8.0,3940.0,1505150519377
10,1659.5,246.80272148688582,1.0,1429.0,2077.0,7.0,1921.0,1505150519377
69,2061.5,161.9699046119371,8.0,1899.0,2318.0,8.0,1950.0,1505150519406
14,12277.0,1000.0,21.0,12277.0,12277.0,1.0,12277.0,1505150519426
52,4035.3333333333335,72.7109956532634,25.0,3979.0,4138.0,7.0,3989.0,1505150519426
95,6063.5,34.5,26.0,6029.0,6098.0,3.0,6029.0,1505150519446
18,1967.8333333333333,65.47115565057808,5.0,1890.0,2098.0,7.0,1991.0,1505150519447
35,2023.6,113.92910076007797,7.0,1860.0,2160.0,8.0,2100.0,1505150519556
3,6183.0,76.0,11.0,6107.0,6259.0,2.0,6259.0,1505150519676
94,12548.0,1000.0,23.0,12548.0,12548.0,0.0,12548.0,1505150519697
19,2189.25,54.74657523535148,0.0,2140.0,2281.0,5.0,2281.0,1505150519737
81,2141.5,213.7972170071444,3.0,1779.0,2330.0,6.0,2330.0,1505150519786
31,12947.0,1000.0,24.0,12947.0,12947.0,1.0,12947.0,1505150520096
17,13047.0,1000.0,27.0,13047.0,13047.0,0.0,13047.0,1505150520196
10,1569.5714285714287,317.3843353515271,1.0,1030.0,2077.0,7.0,1030.0,1505150520507
1,1129.5714285714287,153.16924079765693,0.0,879.0,1380.0,8.0,1230.0,1505150520707
39,1373.2857142857142,84.05731766515764,2.0,1271.0,1547.0,9.0,1409.0,1505150520886
83,1526.5714285714287,118.421592074198,1.0,1319.0,1688.0,7.0,1439.0,1505150520916
34,1632.2857142857142,93.37285363486738,3.0,1579.0,1858.0,8.0,1590.0,1505150521067
54,1699.142857142857,137.2520398718343,2.0,1540.0,1977.0,7.0,1650.0,1505150521127
44,1783.0,359.1592033253963,6.0,1300.0,2320.0,9.0,1730.0,1505150521207
82,1900.5714285714287,125.21508026803565,7.0,1799.0,2187.0,9.0,1799.0,1505150521276
88,6083.5,234.5,10.0,5849.0,6318.0,2.0,5849.0,1505150521286
99,1808.0,143.98611044125056,6.0,1509.0,1980.0,9.0,1809.0,1505150521286
53,1847.857142857143,74.36863503891288,1.0,1759.0,2008.0,6.0,1830.0,1505150521306
89,1934.3333333333333,131.96800959155047,4.0,1749.0,2138.0,7.0,1830.0,1505150521307
90,1844.0,83.12984679747358,1.0,1699.0,1988.0,6.0,1870.0,1505150521347
18,1960.857142857143,62.97715815261587,5.0,1890.0,2098.0,7.0,1919.0,1505150521396
45,4079.6666666666665,83.91397711678046,15.0,3961.0,4140.0,4.0,3961.0,1505150521417
76,4108.666666666667,287.7873443283348,5.0,3809.0,4497.0,3.0,4020.0,1505150521476
96,4252.666666666667,197.48642710041844,22.0,4030.0,4510.0,5.0,4030.0,1505150521486
69,2059.2,144.9432992587101,8.0,1899.0,2318.0,8.0,2050.0,1505150521527
67,1671.1666666666667,442.7864107620689,6.0,989.0,2149.0,9.0,2149.0,1505150521626
9,2866.5,461.4653291418544,16.0,2220.0,3497.0,8.0,2220.0,1505150521697
80,4259.333333333333,176.86969465934203,8.0,4047.0,4480.0,3.0,4251.0,1505150521707
7,2316.75,84.26557719496141,8.0,2240.0,2458.0,7.0,2240.0,1505150521717
78,4242.666666666667,181.91817452421355,29.0,4000.0,4438.0,9.0,4290.0,1505150521746
20,4156.0,223.73794194697211,23.0,3840.0,4328.0,6.0,4300.0,1505150521756
98,2431.25,94.0222712978154,4.0,2349.0,2588.0,5.0,2419.0,1505150521896
4,2586.75,100.70098063077639,0.0,2499.0,2758.0,4.0,2499.0,1505150521976
100,2739.0,148.8472371258533,13.0,2509.0,2918.0,8.0,2509.0,1505150521986
93,2503.75,210.0682924669975,14.0,2239.0,2737.0,8.0,2680.0,1505150522157
68,2654.25,223.00938881580748,5.0,2330.0,2940.0,5.0,2749.0,1505150522226
15,2834.0,97.29594030585243,7.0,2759.0,2997.0,5.0,2759.0,1505150522236
48,2754.0,110.61419438751972,10.0,2599.0,2908.0,6.0,2779.0,1505150522256
26,6954.0,114.0,18.0,6840.0,7068.0,2.0,6840.0,1505150522277
86,2946.5,84.52958062122396,4.0,2830.0,3067.0,4.0,2830.0,1505150522307
37,2899.25,280.57118080800814,12.0,2640.0,3359.0,7.0,2889.0,1505150522366
13,7028.5,98.5,19.0,6930.0,7127.0,2.0,6930.0,1505150522367
97,2934.25,94.75857480988198,16.0,2870.0,3097.0,8.0,2900.0,1505150522377
46,3154.25,374.2702065353319,21.0,2870.0,3798.0,9.0,2959.0,1505150522436
87,3216.75,93.49164401164417,17.0,3149.0,3378.0,7.0,3170.0,1505150522647
85,3219.25,64.39477851503179,20.0,3150.0,3287.0,9.0,3280.0,1505150522757
36,7298.5,31.5,22.0,7267.0,7330.0,2.0,7330.0,1505150522767
1,1148.5,151.77697453830078,0.0,879.0,1380.0,8.0,1281.0,1505150522777
8,3299.25,83.31078861708129,12.0,3160.0,3379.0,5.0,3379.0,1505150522856
54,1658.125,168.10892116422613,2.0,1371.0,1977.0,7.0,1371.0,1505150522867
79,3441.75,132.56389968615136,15.0,3299.0,3658.0,5.0,3420.0,1505150522897
39,1376.75,79.16083311840522,2.0,1271.0,1547.0,9.0,1401.0,1505150522897
24,3461.75,66.05442831483745,14.0,3390.0,3568.0,5.0,3430.0,1505150522907
42,3531.5,81.94052721333931,18.0,3450.0,3658.0,6.0,3469.0,1505150522946
28,3523.75,76.11627618321853,11.0,3450.0,3649.0,4.0,3479.0,1505150522956
34,1610.75,104.2841670628864,3.0,1460.0,1858.0,8.0,1460.0,1505150522956
72,3521.0,62.14499175315739,13.0,3469.0,3627.0,5.0,3489.0,1505150522966
10,1558.375,298.36007503518294,1.0,1030.0,2077.0,7.0,1480.0,1505150522976
91,3714.0,166.07377878521342,11.0,3509.0,3918.0,4.0,3509.0,1505150522986
83,1528.375,110.87598646686305,1.0,1319.0,1688.0,7.0,1541.0,1505150523037
43,3749.5,136.3845665755477,24.0,3570.0,3940.0,8.0,3570.0,1505150523047
11,3599.25,184.63663639700545,22.0,3359.0,3878.0,7.0,3570.0,1505150523047
60,3641.5,334.9929103727421,19.0,3300.0,4177.0,6.0,3660.0,1505150523136
21,3791.25,84.82445107396805,26.0,3739.0,3938.0,9.0,3749.0,1505150523226
90,1832.375,83.62257096621701,1.0,1699.0,1988.0,6.0,1751.0,1505150523246
53,1835.75,76.58614430822327,1.0,1751.0,2008.0,6.0,1751.0,1505150523247
